scene,floor,question,question,primary_object,choices,question_formatted,answer,label
00258-2Pc8W48bu21,1,Which channel is being shown on the TV?,Which channel is being shown on the TV?,TV,"['Sports', 'News', 'Drama', 'It is not on']",Which channel is being shown on the TV? A) Sports B) News C) Drama D) It is not on. Answer:,A,existence
00262-1xGrZPxG1Hz,0,Is the wooden chair left in a room?,Is the wooden chair left in a room?,wooden chair,"['Yes, bedroom', 'Yes, dining room', 'Yes, living room', 'No']","Is the wooden chair left in a room? A) Yes, bedroom B) Yes, dining room C) Yes, living room D) No. Answer:",A,identification
00262-1xGrZPxG1Hz,1,Are the candles by the entrace put out?,Are the candles by the entrace put out?,candles,"['Yes, they are out', 'No, the flame still on', '(Do not choose this option)', '(Do not choose this option)']","Are the candles by the entrace put out? A) Yes, they are out B) No, the flame still on C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00299-bdp1XNEdvmW,0,How many sports balls are stored on the rack in the hallway?,How many sports balls are stored on the rack in the hallway?,sports balls,"['Two', 'Five', 'Three', 'Four']",How many sports balls are stored on the rack in the hallway? A) Two B) Five C) Three D) Four. Answer:,C,existence
00299-bdp1XNEdvmW,0,Are the monitors left on?,Are the monitors left on?,monitors,"['No, they are both off', 'Yes, one of them is on', '(Do not choose this option)', 'Yes, both of them are on']","Are the monitors left on? A) No, they are both off B) Yes, one of them is on C) (Do not choose this option) D) Yes, both of them are on. Answer:",B,count
00299-bdp1XNEdvmW,1,Is there any vegetable left on the cutting board?,Is there any vegetable left on the cutting board?,vegetable,"['Potatoes', 'Lettuces', 'Some tomatos', 'None']",Is there any vegetable left on the cutting board? A) Potatoes B) Lettuces C) Some tomatos D) None. Answer:,D,state
00304-X6Pct1msZv5,0,Is the air conditioning in the bedroom with flower painting turned on?,Is the air conditioning in the bedroom with flower painting turned on?,air conditioning,"['(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)', 'No, it is off']","Is the air conditioning in the bedroom with flower painting turned on? A) (Do not choose this option) B) Yes, it is on C) (Do not choose this option) D) No, it is off. Answer:",B,state
00313-PE6kVEtrxtj,0,I am looking for the stack of magazines I left somewhere in the living room.,I am looking for the stack of magazines I left somewhere in the living room.,stack of magazines,"['On the red chair', 'On the coffee table', 'Under the TV', 'On the dining table']",I am looking for the stack of magazines I left somewhere in the living room. A) On the red chair B) On the coffee table C) Under the TV D) On the dining table. Answer:,C,location
00323-yHLr6bvWsVm,0,Does the dining table have any fruit bowl on it?,Does the dining table have any fruit bowl on it?,fruit bowl,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Does the dining table have any fruit bowl on it? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,existence
00324-DoSbsoo4EAg,0,Is there already some shampoo at the shower?,Is there already some shampoo at the shower?,shampoo,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is there already some shampoo at the shower? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00326-u9rPN5cHWBg,0,Are the bedroom lamps on?,Are the bedroom lamps on?,bedroom lamps,"['(Do not choose this option)', 'No, they are off', 'Yes, they are on', '(Do not choose this option)']","Are the bedroom lamps on? A) (Do not choose this option) B) No, they are off C) Yes, they are on D) (Do not choose this option). Answer:",C,existence
00327-xgLmjqzoAzF,0,Where did I leave the black suitcases?,Where did I leave the black suitcases?,black suitcases,"['In the laundry room', 'In the bedroom', 'In the living room', 'In the hallway closet']",Where did I leave the black suitcases? A) In the laundry room B) In the bedroom C) In the living room D) In the hallway closet. Answer:,D,state
00327-xgLmjqzoAzF,0,I was playing pool with friends. Are the balls put away from the table?,I was playing pool with friends. Are the balls put away from the table?,pool balls,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",I was playing pool with friends. Are the balls put away from the table? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,location
00330-WhNyDTnd9g5,0,Are the pillows left on the porch chair?,Are the pillows left on the porch chair?,pillows,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Are the pillows left on the porch chair? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,state
00330-WhNyDTnd9g5,2,Is the curtain shade pulled down in the kid's room?,Is the curtain shade pulled down in the kid's room?,curtain shade,"['Yes, it is down', 'No, it is up', '(Do not choose this option)', '(Do not choose this option)']","Is the curtain shade pulled down in the kid's room? A) Yes, it is down B) No, it is up C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00366-fxbzYAGkrtm,0,I am looking for my boots. Are they on the stairs by the entrance door?,I am looking for my boots. Are they on the stairs by the entrance door?,boots,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I am looking for my boots. Are they on the stairs by the entrance door? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,existence
00366-fxbzYAGkrtm,1,How many pillows I put on the bed with red bedding?,How many pillows I put on the bed with red bedding?,pillows,"['None', 'Two', 'One', 'Four']",How many pillows I put on the bed with red bedding? A) None B) Two C) One D) Four. Answer:,A,count
00386-b3WpMbPFB6q,0,I can't find my laptop anywhere.,I can't find my laptop anywhere.,laptop,"['On the sofa', 'On the kitchen island', 'On the wooden desk', 'On the bed']",I can't find my laptop anywhere. A) On the sofa B) On the kitchen island C) On the wooden desk D) On the bed. Answer:,C,location
00386-b3WpMbPFB6q,0,Is my jacket left on the staircase?,Is my jacket left on the staircase?,jacket,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is my jacket left on the staircase? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00388-pcpn6mFqFCg,0,Is the kettle on the coffee table?,Is the kettle on the coffee table?,kettle,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the kettle on the coffee table? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00388-pcpn6mFqFCg,0,Which rug did I put next to the kitchen sink?,Which rug did I put next to the kitchen sink?,rug,"['There is no rug', 'Gray one', 'White one', 'Green one']",Which rug did I put next to the kitchen sink? A) There is no rug B) Gray one C) White one D) Green one. Answer:,A,identification
00397-ZNanfzgCdm3,0,Are curtains closed in the bedroom?,Are curtains closed in the bedroom?,curtains,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Are curtains closed in the bedroom? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,C,state
00397-ZNanfzgCdm3,0,Where are the laptops?,Where are the laptops?,laptops,"['On the sidetable next to sofa', 'On kitchen counter', 'Next to TV in bedroom', 'On dining table']",Where are the laptops? A) On the sidetable next to sofa B) On kitchen counter C) Next to TV in bedroom D) On dining table. Answer:,A,location
00404-QN2dRqwd84J,0,Is the television in the bedroom left on?,Is the television in the bedroom left on?,television,"['(Do not choose this option)', 'No, it is off', 'Yes, it is on', '(Do not choose this option)']","Is the television in the bedroom left on? A) (Do not choose this option) B) No, it is off C) Yes, it is on D) (Do not choose this option). Answer:",B,state
00410-v7DzfFFEpsD,0,Which side of the front door is the plant now?,Which side of the front door is the plant now?,plant,"['Left side', '(Do not choose this option)', 'Right side', 'There is no plant there']",Which side of the front door is the plant now? A) Left side B) (Do not choose this option) C) Right side D) There is no plant there. Answer:,C,state
00410-v7DzfFFEpsD,1,I need to find my Louis Vuitton box.,I need to find my Louis Vuitton box.,Louis Vuitton box,"[""In the children's room"", 'In the closet', 'In the hallway', 'In the bathroom']",I need to find my Louis Vuitton box. A) In the children's room B) In the closet C) In the hallway D) In the bathroom. Answer:,B,location
00410-v7DzfFFEpsD,1,Which pillow is there on the armchair in the main bedroom?,Which pillow is there on the armchair in the main bedroom?,pillow,"['Red one', 'White one', 'Black one', 'Green one']",Which pillow is there on the armchair in the main bedroom? A) Red one B) White one C) Black one D) Green one. Answer:,D,identification
00414-77mMEyxhs44,0,Is the monitor left on?,Is the monitor left on?,monitor,"['(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)', 'No, it is blank']","Is the monitor left on? A) (Do not choose this option) B) Yes, it is on C) (Do not choose this option) D) No, it is blank. Answer:",D,state
00414-77mMEyxhs44,1,I'm looking for my blue check-patterned blanket. Where is it?,I'm looking for my blue check-patterned blanket. Where is it?,blue check-patterned blanket,"['In the hallway', 'On the bed in the main bedroom', 'In the bathroom', 'On the bed in the smaller bedroom']",I'm looking for my blue check-patterned blanket. Where is it? A) In the hallway B) On the bed in the main bedroom C) In the bathroom D) On the bed in the smaller bedroom. Answer:,B,location
00440-wPLokgvCnuk,1,How many towels are there at the oven?,How many towels are there at the oven?,towels,"['None', 'One', 'Five', 'Two']",How many towels are there at the oven? A) None B) One C) Five D) Two. Answer:,D,count
00440-wPLokgvCnuk,1,What did I leave on the coffee table?,What did I leave on the coffee table?,coffee table,"['Magazines', 'Mugs', 'Wallets', 'Laptops']",What did I leave on the coffee table? A) Magazines B) Mugs C) Wallets D) Laptops. Answer:,A,identification
00444-sX9xad6ULKc,0,How many sets of utensils are there on the dining table?,How many sets of utensils are there on the dining table?,dining table,"['None', 'Six', 'Four', 'Two']",How many sets of utensils are there on the dining table? A) None B) Six C) Four D) Two. Answer:,C,count
00444-sX9xad6ULKc,0,Are the curtains in the office closed?,Are the curtains in the office closed?,curtains,"['(Do not choose this option)', 'No, they are open', 'Yes, they are closed', '(Do not choose this option)']","Are the curtains in the office closed? A) (Do not choose this option) B) No, they are open C) Yes, they are closed D) (Do not choose this option). Answer:",C,state
00466-xAHnY3QzFUN,0,Is the bathroom door fully closed?,Is the bathroom door fully closed?,bathroom door,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the bathroom door fully closed? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,state
00506-QVAA6zecMHu,0,Which pillows are there on the bed right now?,Which pillows are there on the bed right now?,pillows,"['Green ones', 'Black ones', 'Red ones', 'Purple ones']",Which pillows are there on the bed right now? A) Green ones B) Black ones C) Red ones D) Purple ones. Answer:,D,count
00525-iKFn6fzyRqs,0,I am trying to remember where I left the dog food plates.,I am trying to remember where I left the dog food plates.,dog food plates,"['In the kitchen', 'In the storage room', 'In the living room', 'At the dining place']",I am trying to remember where I left the dog food plates. A) In the kitchen B) In the storage room C) In the living room D) At the dining place. Answer:,D,location
00525-iKFn6fzyRqs,0,Is the floor lamp next to the piano left on?,Is the floor lamp next to the piano left on?,floor lamp,"['(Do not choose this option)', '(Do not choose this option)', 'No, it is off', 'Yes, it is on']","Is the floor lamp next to the piano left on? A) (Do not choose this option) B) (Do not choose this option) C) No, it is off D) Yes, it is on. Answer:",D,state
00525-iKFn6fzyRqs,1,I want to take a shower. Are there some towels by the bathrub?,I want to take a shower. Are there some towels by the bathrub?,towels,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I want to take a shower. Are there some towels by the bathrub? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,existence
00529-W9YAR9qcuvN,0,Is the bottom drawer of the refrigerator left open?,Is the bottom drawer of the refrigerator left open?,refrigerator bottom drawer,"['(Do not choose this option)', '(Do not choose this option)', 'Yes, it is open', 'No, it is closed']","Is the bottom drawer of the refrigerator left open? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it is open D) No, it is closed. Answer:",D,state
00534-DBBESbk4Y3k,1,Is the laptop left on the coffee table?,Is the laptop left on the coffee table?,laptop,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is the laptop left on the coffee table? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,existence
00534-DBBESbk4Y3k,2,Is the closet door next to the bed with yellow pillow left open?,Is the closet door next to the bed with yellow pillow left open?,closet door,"['No, it is closed', 'Yes, it is open', '(Do not choose this option)', '(Do not choose this option)']","Is the closet door next to the bed with yellow pillow left open? A) No, it is closed B) Yes, it is open C) (Do not choose this option) D) (Do not choose this option). Answer:",A,state
00537-oahi4u45xMf,0,Is there any pot left on the stove?,Is there any pot left on the stove?,pot,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is there any pot left on the stove? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00547-9h5JJxM6E5S,0,How many umbrellas are there in the ceramic vase near the staircase?,How many umbrellas are there in the ceramic vase near the staircase?,umbrellas,"['(Do not choose this option)', 'None', 'A few', 'One']",How many umbrellas are there in the ceramic vase near the staircase? A) (Do not choose this option) B) None C) A few D) One. Answer:,C,count
