scene,floor,source_question,primary_object,distance_m,predicate,msp_question
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,1.4,above,Where is 1.4 meters above the silver trash can?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,2.4,right of,Where is 2.4 meters right of the silver trash can?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,0.8,behind,Where is 0.8 meters behind the silver trash can?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,1.8,below,Where is 1.8 meters below the silver trash can?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,3.4,above,Where is 3.4 meters above the silver trash can?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,0.4,behind,Where is 0.4 meters behind the silver trash can?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,2.2,below,Where is 2.2 meters below the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,3.0,right of,Where is 3.0 meters right of the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,3.8,left of,Where is 3.8 meters left of the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,2.4,above,Where is 2.4 meters above the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,2.0,in front of,Where is 2.0 meters in front of the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,0.8,above,Where is 0.8 meters above the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,2.6,behind,Where is 2.6 meters behind the bedside tables?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,0.6,in front of,Where is 0.6 meters in front of the bedside tables?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,3.0,right of,Where is 3.0 meters right of the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,2.0,behind,Where is 2.0 meters behind the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,0.6,behind,Where is 0.6 meters behind the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,0.8,left of,Where is 0.8 meters left of the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,2.8,below,Where is 2.8 meters below the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,3.6,left of,Where is 3.6 meters left of the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,2.6,above,Where is 2.6 meters above the gray curtain?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,1.2,above,Where is 1.2 meters above the gray curtain?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,2.2,in front of,Where is 2.2 meters in front of the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,4.0,behind,Where is 4.0 meters behind the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,2.4,below,Where is 2.4 meters below the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,3.2,below,Where is 3.2 meters below the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,3.0,left of,Where is 3.0 meters left of the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,0.4,left of,Where is 0.4 meters left of the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,2.8,below,Where is 2.8 meters below the standing fan?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,3.4,below,Where is 3.4 meters below the standing fan?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,2.0,left of,Where is 2.0 meters left of the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,3.8,behind,Where is 3.8 meters behind the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,3.0,in front of,Where is 3.0 meters in front of the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,4.0,right of,Where is 4.0 meters right of the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,2.6,above,Where is 2.6 meters above the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,3.6,left of,Where is 3.6 meters left of the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,2.2,behind,Where is 2.2 meters behind the fruit bowl?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,1.2,left of,Where is 1.2 meters left of the fruit bowl?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,1.4,left of,Where is 1.4 meters left of the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,2.0,right of,Where is 2.0 meters right of the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,1.0,behind,Where is 1.0 meters behind the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,1.6,behind,Where is 1.6 meters behind the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,2.6,above,Where is 2.6 meters above the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,4.0,in front of,Where is 4.0 meters in front of the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,2.8,right of,Where is 2.8 meters right of the blue decorative pillow?
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,3.4,behind,Where is 3.4 meters behind the blue decorative pillow?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,3.6,right of,Where is 3.6 meters right of the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,1.8,right of,Where is 1.8 meters right of the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,2.8,right of,Where is 2.8 meters right of the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,2.4,below,Where is 2.4 meters below the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,2.6,right of,Where is 2.6 meters right of the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,0.8,left of,Where is 0.8 meters left of the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,0.6,behind,Where is 0.6 meters behind the woven basket?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,0.4,above,Where is 0.4 meters above the woven basket?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,1.2,above,Where is 1.2 meters above the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,1.8,above,Where is 1.8 meters above the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,2.0,in front of,Where is 2.0 meters in front of the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,0.2,right of,Where is 0.2 meters right of the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,1.0,below,Where is 1.0 meters below the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,1.4,above,Where is 1.4 meters above the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,3.8,above,Where is 3.8 meters above the striped towel?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,4.0,below,Where is 4.0 meters below the striped towel?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,0.4,behind,Where is 0.4 meters behind the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,3.0,below,Where is 3.0 meters below the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,3.6,behind,Where is 3.6 meters behind the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,2.6,left of,Where is 2.6 meters left of the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,3.4,right of,Where is 3.4 meters right of the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,1.4,left of,Where is 1.4 meters left of the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,3.8,right of,Where is 3.8 meters right of the kettle?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,4.0,behind,Where is 4.0 meters behind the kettle?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,1.2,above,Where is 1.2 meters above the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,0.8,left of,Where is 0.8 meters left of the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,2.2,in front of,Where is 2.2 meters in front of the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,0.4,above,Where is 0.4 meters above the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,3.8,left of,Where is 3.8 meters left of the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,0.2,left of,Where is 0.2 meters left of the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,2.0,right of,Where is 2.0 meters right of the books?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,0.6,above,Where is 0.6 meters above the books?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,2.6,behind,Where is 2.6 meters behind the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,1.0,behind,Where is 1.0 meters behind the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,1.8,behind,Where is 1.8 meters behind the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,2.4,behind,Where is 2.4 meters behind the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,3.4,in front of,Where is 3.4 meters in front of the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,1.6,left of,Where is 1.6 meters left of the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,0.4,right of,Where is 0.4 meters right of the kitchen sink?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,2.8,left of,Where is 2.8 meters left of the kitchen sink?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,2.2,right of,Where is 2.2 meters right of the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,1.8,below,Where is 1.8 meters below the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,3.2,above,Where is 3.2 meters above the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,1.2,left of,Where is 1.2 meters left of the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,0.2,above,Where is 0.2 meters above the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,0.8,in front of,Where is 0.8 meters in front of the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,3.8,below,Where is 3.8 meters below the front door?
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,front door,3.4,left of,Where is 3.4 meters left of the front door?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,1.8,above,Where is 1.8 meters above the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,3.4,above,Where is 3.4 meters above the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,2.4,in front of,Where is 2.4 meters in front of the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,1.2,below,Where is 1.2 meters below the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,3.6,right of,Where is 3.6 meters right of the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,2.6,above,Where is 2.6 meters above the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,0.8,right of,Where is 0.8 meters right of the decorative owl?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,4.0,right of,Where is 4.0 meters right of the decorative owl?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,2.6,left of,Where is 2.6 meters left of the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,1.6,in front of,Where is 1.6 meters in front of the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,1.4,behind,Where is 1.4 meters behind the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,3.4,in front of,Where is 3.4 meters in front of the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,3.2,right of,Where is 3.2 meters right of the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,1.2,below,Where is 1.2 meters below the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,2.4,above,Where is 2.4 meters above the fan?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,0.2,in front of,Where is 0.2 meters in front of the fan?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,3.0,right of,Where is 3.0 meters right of the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,2.4,in front of,Where is 2.4 meters in front of the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,3.8,right of,Where is 3.8 meters right of the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,0.6,behind,Where is 0.6 meters behind the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,1.6,above,Where is 1.6 meters above the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,0.4,above,Where is 0.4 meters above the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,0.8,left of,Where is 0.8 meters left of the colorful handbag?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,3.2,behind,Where is 3.2 meters behind the colorful handbag?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,2.4,below,Where is 2.4 meters below the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,0.6,in front of,Where is 0.6 meters in front of the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,0.8,left of,Where is 0.8 meters left of the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,2.6,below,Where is 2.6 meters below the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,1.4,behind,Where is 1.4 meters behind the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,1.6,behind,Where is 1.6 meters behind the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,3.8,behind,Where is 3.8 meters behind the wall clock?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,3.2,below,Where is 3.2 meters below the wall clock?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,0.6,below,Where is 0.6 meters below the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,1.2,right of,Where is 1.2 meters right of the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,3.8,above,Where is 3.8 meters above the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,1.0,above,Where is 1.0 meters above the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,0.2,behind,Where is 0.2 meters behind the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,4.0,below,Where is 4.0 meters below the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,2.0,in front of,Where is 2.0 meters in front of the dining chairs?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,1.6,right of,Where is 1.6 meters right of the dining chairs?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,3.6,left of,Where is 3.6 meters left of the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,4.0,above,Where is 4.0 meters above the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,1.0,below,Where is 1.0 meters below the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,0.2,right of,Where is 0.2 meters right of the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,3.4,behind,Where is 3.4 meters behind the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,2.6,right of,Where is 2.6 meters right of the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,2.4,right of,Where is 2.4 meters right of the fruit bowl?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,2.2,left of,Where is 2.2 meters left of the fruit bowl?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,1.8,in front of,Where is 1.8 meters in front of the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,1.4,above,Where is 1.4 meters above the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,2.0,behind,Where is 2.0 meters behind the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,3.4,right of,Where is 3.4 meters right of the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,1.6,left of,Where is 1.6 meters left of the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,2.6,below,Where is 2.6 meters below the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,3.6,in front of,Where is 3.6 meters in front of the painting of the ocean?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,1.2,behind,Where is 1.2 meters behind the painting of the ocean?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,3.8,above,Where is 3.8 meters above the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,3.4,left of,Where is 3.4 meters left of the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,2.8,behind,Where is 2.8 meters behind the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,4.0,right of,Where is 4.0 meters right of the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,1.0,above,Where is 1.0 meters above the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,1.8,left of,Where is 1.8 meters left of the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,0.6,right of,Where is 0.6 meters right of the pillows?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,3.0,right of,Where is 3.0 meters right of the pillows?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,1.0,above,Where is 1.0 meters above the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,3.2,behind,Where is 3.2 meters behind the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,0.8,left of,Where is 0.8 meters left of the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,0.4,above,Where is 0.4 meters above the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,2.2,left of,Where is 2.2 meters left of the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,3.8,right of,Where is 3.8 meters right of the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,1.8,right of,Where is 1.8 meters right of the bookshelves?
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,bookshelves,2.8,in front of,Where is 2.8 meters in front of the bookshelves?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,0.4,in front of,Where is 0.4 meters in front of the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,0.8,above,Where is 0.8 meters above the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,3.4,above,Where is 3.4 meters above the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,3.0,above,Where is 3.0 meters above the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,0.2,above,Where is 0.2 meters above the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,2.6,right of,Where is 2.6 meters right of the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,4.0,below,Where is 4.0 meters below the book?
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,book,1.6,in front of,Where is 1.6 meters in front of the book?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,3.0,above,Where is 3.0 meters above the potted plants?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,3.4,right of,Where is 3.4 meters right of the potted plants?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,3.6,behind,Where is 3.6 meters behind the potted plants?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,3.2,right of,Where is 3.2 meters right of the potted plants?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,1.6,behind,Where is 1.6 meters behind the potted plants?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,2.4,left of,Where is 2.4 meters left of the potted plants?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,1.8,behind,Where is 1.8 meters behind the potted plants?
